Nombre,Descripcion_del_producto,Precio,Imagen
Gel fijador cabello Xtra Forte Deliplus fijacion 4,Bote 100 ml,"1,50 €",https://prod-mercadona.imgix.net/images/34c8312c579dc42d5cad6d3158c4fdca.jpg?fit=crop&h=300&w=300
Espuma cabello Xtra Forte Deliplus fijacion 4,Bote 100 ml,"1,65 €",https://prod-mercadona.imgix.net/images/591a45eadf682bae0b46c2bf90a004fb.jpg?fit=crop&h=300&w=300
Mascarilla Hidra Hialuronico Elvive cabello deshidratado,Tarro 310 ml,"4,50 €",https://prod-mercadona.imgix.net/images/4be19fda93fc37ffa8957db3aed8b0a0.jpg?fit=crop&h=300&w=300
Acondicionador Protector Color Vive Elvive cabello teñido o con mechas,Bote 250 ml,"3,45 €",https://prod-mercadona.imgix.net/images/7763801b1f62b55425a9e095d8ccbaff.jpg?fit=crop&h=300&w=300
Acondicionador Liso Keratina TRESemmécabello encrespado o dañado,Bote 350 ml,"2,95 €",https://prod-mercadona.imgix.net/images/4efd8c97739e464f7d377d340b3e173a.jpg?fit=crop&h=300&w=300
Sérum Plex Repair Deliplus cabello muy dañado,Bote 100 ml,"4,00 €",https://prod-mercadona.imgix.net/images/d09f9abf3e82c36f32bd8fa03e3f023c.jpg?fit=crop&h=300&w=300
Tratamiento Anti Frizz Deliplus todo tipo de cabello,Spray 200 ml,"4,60 €",https://prod-mercadona.imgix.net/images/f8c25ba12eafdd39d277b416f3abf1fa.jpg?fit=crop&h=300&w=300
Acondicionador instantaneo Hydra hyaluronic Deliplus cabello de normal a seco,Bote 250 ml,"2,00 €",https://prod-mercadona.imgix.net/images/9f0066b491165c658ada87e024c9ce19.jpg?fit=crop&h=300&w=300
Mascarilla sin aclarado Curl Perfect Deliplus cabello rizado,Bote 200 ml,"4,00 €",https://prod-mercadona.imgix.net/images/68939f0f87aef6d073573c26ef89d252.jpg?fit=crop&h=300&w=300
Mascarilla Liss Frizz Control Deliplus cabello rebelde,Tarro 400 ml,"2,05 €",https://prod-mercadona.imgix.net/images/74f853e39ddb65841e0efc0a2717304a.jpg?fit=crop&h=300&w=300
Mascarilla Natural Deliplus todo tipo de cabello,Tarro 400 ml,"2,50 €",https://prod-mercadona.imgix.net/images/daa0dd8d8144c67f3a03fe3c68dbaea2.jpg?fit=crop&h=300&w=300
Mascarilla intensiva Liso Keratina 1 Minute Wow! TRESemmécabello encrespado o dañado,Bote 170 ml,"2,65 €",https://prod-mercadona.imgix.net/images/0ab958476d17007e2dbeb0837621ca1e.jpg?fit=crop&h=300&w=300
Ampollas tratamiento intensivo Repara & Protege Pantene cabello dañado,Caja 3 ud. (45 ml),"4,45 €",https://prod-mercadona.imgix.net/images/bd432167b57144afcca6e855bbbf070b.jpg?fit=crop&h=300&w=300
Sérum Be Radiant 10 en 1 Deliplus cabello apagado,Bote 100 ml,"4,05 €",https://prod-mercadona.imgix.net/images/6171e8d5453af5c2cdf954f2660e864e.jpg?fit=crop&h=300&w=300
Sérum Liss Frizz Control Deliplus iluminador,Bote 100 ml,"3,50 €",https://prod-mercadona.imgix.net/images/dc064e3142b47f57d89ac3dd943b4f90.jpg?fit=crop&h=300&w=300
Mascarilla Color Intense Deliplus cabello teñido o con mechas,Tarro 400 ml,"2,05 €",https://prod-mercadona.imgix.net/images/be6ab604ff0ce96c4c8e6799cc704742.jpg?fit=crop&h=300&w=300
Mascarilla Hydra hyaluronic Deliplus cabello de normal a seco,Bote 200 ml,"2,05 €",https://prod-mercadona.imgix.net/images/3c4349d013e4212676950b328bc2fb52.jpg?fit=crop&h=300&w=300
Mascarilla sin aclarado Argan Oil Deliplus cabello seco y dañado,Bote 150 ml,"3,80 €",https://prod-mercadona.imgix.net/images/bb87d61a674c68c11a21ac4e921fd7bf.jpg?fit=crop&h=300&w=300
Hidrocrema Liss Frizz Control Deliplus cabello rebelde,Bote 200 ml,"2,75 €",https://prod-mercadona.imgix.net/images/63d46d2ad6fa39a02713d04768413ed4.jpg?fit=crop&h=300&w=300
Mascarilla sin aclarado Repair & Nutrition Deliplus cabello seco y dañado,Bote 150 ml,"3,70 €",https://prod-mercadona.imgix.net/images/30b727fc6855b99190c4ad8555cd1272.jpg?fit=crop&h=300&w=300
Sérum oil Curl Perfect Deliplus cabello rizado,Bote 100 ml,"4,00 €",https://prod-mercadona.imgix.net/images/fc95936f4a45533daf431eb177e93735.jpg?fit=crop&h=300&w=300
Mascarilla Protectora Color Vive Elvive cabello teñido o con mechas,Tarro 310 ml,"4,50 €",https://prod-mercadona.imgix.net/images/6c27b6819dfc2932ecea53345caa0f88.jpg?fit=crop&h=300&w=300
Sérum Anticaida Fortificante Deliplus,Bote 100 ml,"6,00 €",https://prod-mercadona.imgix.net/images/b192d59d5e25ddb6f64d46b2caaffa72.jpg?fit=crop&h=300&w=300
Mascarilla Silver Deliplus cabello blanco y platino,Bote 200 ml,"3,95 €",https://prod-mercadona.imgix.net/images/6a490806b3f8dfa69c543655f267cfe3.jpg?fit=crop&h=300&w=300
"Mascarilla Ultra Platinum Deliplus cabello gris, rubio y decolorado",Bote 200 ml,"3,95 €",https://prod-mercadona.imgix.net/images/59e853a4ed85718d40da80c677fcdbcd.jpg?fit=crop&h=300&w=300
Champu proteccion y brillo Deliplus todo tipo de cabello,Botella 1 L,"1,60 €",https://prod-mercadona.imgix.net/images/8dfdea77b0a536b8c8fbb7111a0076cd.jpg?fit=crop&h=300&w=300
Tinte cabello hombre 3 moreno 4 castaño Deliplus 0% amoniaco,Caja 1 ud.,"5,00 €",https://prod-mercadona.imgix.net/images/6176561b7613e609a30d87ec8f32282b.jpg?fit=crop&h=300&w=300
Tinte cabello hombre 5 castaño natural Deliplus 0% amoniaco,Caja 1 ud.,"5,00 €",https://prod-mercadona.imgix.net/images/170ba2385c29508fce0cef82be955806.jpg?fit=crop&h=300&w=300
Champu Repara & Protege Pantene cabello débil y dañado,Bote 300 ml,"3,55 €",https://prod-mercadona.imgix.net/images/8c373a738664c54e4bf0f7388ef6d0c5.jpg?fit=crop&h=300&w=300
